Age_Group,Coaster,Park,City,State,Type,Design,Year_Opened,Latitude,Longitude,Top_Speed,Max_Height,Drop,Length,Duration,Inversions,Num_of_Inversions
1:older,Zippin Pippin,Libertyland,Memphis,Tennessee,Wooden,Sit Down,1915,35.1175362,-89.9808792,40,70,70,2865,90,N,0
1:older,Jack Rabbit,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1921,40.386622,-79.8618828,45,40,70,2132,96,N,0
1:older,Thunderhawk,Dorney Park,Allentown,Pennsylvania,Wooden,Sit Down,1923,40.5784549,-75.5331062,45,80,65,2767,78,N,0
1:older,Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,Wooden,Sit Down,1924,36.9643103,-122.0186839,55,70,65,2640,112,N,0
1:older,Thunderbolt,Kennywood Park,West Mifflin,Pennsylvania,Wooden,Sit Down,1924,40.386622,-79.8618828,55,70,95,2887,101,N,0
1:older,Wildcat,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,1927,41.6409674,-72.9195008,48,85,78,2746,75,N,0
1:older,Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,Wooden,Sit Down,1935,47.1823648,-122.2966347,50,55,52,2650,105,N,0
1:older,Cyclone,Lakeside,Denver,Colorado,Wooden,Sit Down,1940,39.7822997,-105.0608031,,90,89,2800,120,N,0
1:older,Comet,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1946,40.2887809,-76.6547469,50,84,78,3360,105,N,0
1:older,Comet,Waldameer Park,Erie,Pennsylvania,Wooden,Sit Down,1951,42.1292241,-80.085059,25,37,25,1300,84,N,0
1:older,High Speed Thrill Coaster,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1955,40.8775313,-76.5042299,40,18,12,200,,N,0
1:older,Bobsleds,Seabreeze,Rochester,New York,Steel,Sit Down,1962,43.2315566,-77.5476117,23,31,16,1240,,N,0
1:older,Starliner,Miracle Strip Amusement Park,Panama City Beach,Florida,Wooden,Sit Down,1963,30.1901468,-85.8263738,55,70,76,2640,,N,0
1:older,Swamp Fox,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,Wooden,Sit Down,1963,33.682392,-78.8919316,50,75,65,2400,,N,0
1:older,Blue Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1964,41.4572623,-82.6729522,40,78,72,2558,105,N,0
1:older,Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,Wooden,Sit Down,1967,34.9764938,-85.2458704,50,70,70,2272,,N,0
1:older,River King Mine Train,Six Flags St. Louis,Eureka,Missouri,Steel,Sit Down,1971,38.5129856,-90.6750181,37,32,41,2500,180,N,0
1:older,Big Bend,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,1971,32.7550425,-97.0702818,52,81,,2876,98,N,0
1:older,Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,Wooden,Sit Down,1973,33.7706696,-84.5510975,57,105,89,3450,120,N,0
1:older,Demon,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,42.3706208,-87.9360261,50,102,90,2130,105,Y,4
1:older,Demon,Paramounts Great America,Santa Clara,California,Steel,Sit Down,1976,37.3984051,-121.9751567,50,102,90,2130,105,Y,4
1:older,Screamin Eagle,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,1976,38.5129856,-90.6750181,62,110,92,3872,150,N,0
1:older,Texas Cyclone,Six Flags AstroWorld,Houston,Texas,Wooden,Sit Down,1976,29.7604267,-95.3698028,,93,80,3180,135,N,0
1:older,Whizzer,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1976,42.3706208,-87.9360261,42,70,64,3100,120,N,0
1:older,Colossus,Six Flags Magic Mountain,Valencia,California,Wooden,Sit Down,1978,34.4253305,-118.5972191,62,125,115,4325,150,N,0
1:older,Gemini,Cedar Point,Sandusky,Ohio,Steel,Sit Down,1978,41.4572623,-82.6729522,60,125,118,3935,140,N,0
